BibID,Shelfmark,Title,Full Coverage?,Facets,,folder
9950812453503681,LJS 400,[Sharḥ-i Zīj Gūrgānī] [manuscript].,N,"15th century, Persian, Iran, Diagrams, Astronomy, Paper",,ljs400
9950814943503681,LJS 403,[Alchemical compendium] [manuscript].,Y,"Anthology, 15th century, Arabic, Commentary, Alchemy, Paper, Afghanistan",,ljs403
9957623663503681,LJS 404,[Jāmiʻ al-ʻulūm] [manuscript].,N,"Encyclopedia, 13th century, Persian, Iran, Document, Tables, Paper, Diagrams, Dictionary",,ljs404
9949873813503681,LJS 405,[Kitāb al-Siyāsah tasʹhīl al-naẓar wa-taʻjīl al-ẓafar] [manuscript]. Tasʹhīl al-naẓar wa-taʻjīl al-ẓafar,Y,"13th century, Arabic, Egypt, Treatise, Paper, Philosophy",,ljs405
9950826723503681,LJS 407,[Collection of astronomical texts] [manuscript].,N,"Anthology, 15th century, Diagrams, Astronomy, Paper, Arabic, Iran",,ljs407
9948262793503681,LJS 408,[Sharḥ al-mulakhkhaṣ fī al-hayʼah] [manuscript].,Y,"15th century, Arabic, Annotated, Commentary, Diagrams, Astronomy, Paper, Uzbekistan, Turkish",,ljs408
9957840863503681,LJS 409,[Kitāb al-Kashf wa-al-bayān [manuscript] ; Rumūz fī al-burhān],N,"15th century, Iran, Arabic, Paper, Alchemy, Magic, Drawing, Islamic",,ljs409
9957979413503681,LJS 41,Bible. O.T. Esther. Hebrew. [Megilat Ester] ... [etc.] [manuscript].,N,"15th century, Bible, Biblical, Italy, Jewish, Literature -- Poetry",,ljs41
9950894003503681,LJS 410,[Sharḥ mulakhkhaṣ fī al-hayʼah] [manuscript].,Y,"15th century, Arabic, Iran, Astronomy, Commentary, Diagrams, Paper",,ljs410
9951131033503681,LJS 411,[Sharḥ-i Zīj-i jadīd-i Sultānī] [manuscript].,Y,"15th century, Persian, Iran, Commentary, Diagrams, Astronomy, Paper",,ljs411
9948270433503681,LJS 412,[Risālah fi al-ʻamal bi-al-kurah] ... [etc.] [manuscript].,Y,"16th century, Arabic, Diagrams, Treatise, Astronomy, Paper, Egypt",,ljs412
9950015663503681,LJS 416,[Regulations for mills and bakeries] [manuscript].,N,"16th century, French, Legal, Document, France",,ljs416
9958645723503681,Oversize LJS 417,[Books III-V of al-Qānūn fī al-ṭibb] [manuscript]. Qānūn fī al-ṭibb. Selections,N,"Encyclopedia, 15th century, Treatise, Science -- Medicine, Paper, Arabic",,oversize_ljs_417
9949544423503681,Oversize LJS 418,Passio s[an]c[t]i Blasii ... [etc.] [manuscript].,Y,"13th century, Diagrams, Drawing, Song book, Liturgy, Christian, Italy, Italian",,oversize_ljs_418
9958047623503681,Oversize LJS 419,Erbario [manuscript].,N,"15th century, Italy, Italian, Paper, Science -- Medicine, Illustration",,oversize_ljs_419
9957977613503681,LJS 42,[Bet Elohim [manuscript]. Shaʻar ha-shamayim].,Y,"16th century, Jewish, Commentary, Diagrams, Astronomy, Paper, Greece",,ljs42
9947331613503681,LJS 420,[Perpetual calendar with Metonic cycle] [manuscript].,,"15th century, Italy, Italian, Diagrams, Devotion, Liturgy",,ljs420
9946263053503681,LJS 421,[Letter from Hippocrates to Caesar] [manuscript].,,"14th century, French, France, Science -- Medicine",,ljs421
9949193023503681,Oversize LJS 423,Dos discursos de la cifra [manuscript].,N,"16th century 17th century, Spanish, Spain, Paper, Cryptography",,oversize_ljs_423
9958986893503681,LJS 424,Non[us] Alma[n]sor[is] cu[m] an[n]otatio[n]ib[us] Doctor[is] [S?] [manuscript] : varia alia opuscula.,Y,"Anthology, 16th century, Annotated, Commentary, Science -- Medicine, Paper, Italy, Italian",,ljs424
9958617143503681,LJS 426,[al-Kullīyāt] [manuscript]. Qānūn fī al-ṭibb. Selections,N,"14th century, Annotated, Science -- Medicine, Paper, Iran, Arabic",,ljs426
9958643963503681,Oversize LJS 427,[Books II-V of al-Qānūn fī al-ṭibb] [manuscript]. Qānūn fī al-ṭibb. Selections,Y,"16th century 17th century, Iran, Arabic, Treatise, Science -- Medicine, Paper",,oversize_ljs_427
9948274463503681,LJS 429,[De philosophia naturali] [manuscript].,N,"15th century, Diagrams, History, Paper, German, Germany",,ljs429
9954043173503681,LJS 43,[Qaṣāʼid] / [Shah Qāsim wa-ghayruhu min taṣānīfihi].,N,"16th century, Arabic, Illumination, Literature -- Poetry, Paper, Iran",,ljs43
9954449123503681,LJS 430,[De urinarum judiciis] [manuscript].,Y,"15th century 16th century, Treatise, Science -- Medicine, Paper, French, France",,ljs430
9957624903503681,LJS 431,"Manuscript list of manuscript and printed books, circa 1545.",N,"Catalog, 16th century, Fragment, Literature -- Prose, History, Paper",,ljs431
9948287273503681,LJS 434,[Taqwīm] [manuscript].,N,"Almanac, 16th century, Diagrams, Persian, Astrology, Iran, Paper",,ljs434
9948288963503681,LJS 435,[Maqālah fī al-ʻamal bi-al-yad] [manuscript].,N,"15th century, Arabic, Annotated, Drawing, Science -- Medicine, Paper, Iraq",,ljs435
9954456963503681,LJS 436,Ḍawʼ al-sirāj [manuscript].,Y,"14th century, Commentary, Diagrams, Arabic, Paper, Islamic, Mathematics, Central Arab lands (Near East), Instructional materials, Legal",,ljs436
9958065673503681,LJS 437,De re medicina [manuscript]. Circa instans,N,"14th century 15th century, Science -- Medicine, Austria, Germany, German, Treatise",,ljs437
9959472393503681,LJS 438,[Neoplatonic and neopythagorean translations] [manuscript].,,"15th century, Italy, Italian, Illumination, Philosophy, Science, Mathematics",,ljs438
9948302563503681,LJS 439,[Book on the configuration of the orb] [manuscript].,Y,"14th century, Arabic, Diagrams, Treatise, Philosophy, Cosmology, Islamic, Paper",,ljs439
9950507863503681,LJS 441,[Kitāb al-Miṣbāḥ wa-nuzʹhat al-arwāḥ fī ʻilm al-miftāḥ fī al-ḥikmah al-Ilāhīyah wa-al-ṣināʻah al-falsafīyah wa al-nātijah al-ʻalīyah] ... [etc.] [manuscript]. Miṣbāḥ fī ʻilm al-miftāḥ fī al-ḥikmah al-Ilāhīyah wa-al-ṣināʻah al-ḥikmīyah,Y,"16th century, Arabic, Syria, Diagrams, Drawing, Paper, Alchemy, Treatise, Commentary",,ljs441
9949206643503681,Oversize LJS 442,[Buch von den probierten Künsten] [manuscript].,Y,"16th century, German, Germany, Paper, Drawing, Treatise, Science, Military art and science",,oversize_ljs_442
